,status_group
43598,functional needs repair
43599,functional needs repair
43600,functional needs repair
43601,functional needs repair
43602,functional needs repair
43603,functional needs repair
43604,functional needs repair
43605,functional needs repair
43606,functional needs repair
43607,functional needs repair
43608,functional needs repair
43609,functional needs repair
43610,functional needs repair
43611,functional needs repair
43612,functional needs repair
43613,functional needs repair
43614,functional needs repair
43615,functional needs repair
43616,functional needs repair
43617,functional needs repair
43618,functional needs repair
43619,functional needs repair
43620,functional needs repair
43621,functional needs repair
43622,functional needs repair
43623,functional needs repair
43624,functional needs repair
43625,functional needs repair
43626,functional needs repair
43627,functional needs repair
43628,functional needs repair
43629,functional needs repair
43630,functional needs repair
43631,functional needs repair
43632,functional needs repair
43633,functional needs repair
43634,functional needs repair
43635,functional needs repair
43636,functional needs repair
43637,functional needs repair
43638,functional needs repair
43639,functional needs repair
43640,functional needs repair
43641,functional needs repair
43642,functional needs repair
43643,functional needs repair
43644,functional needs repair
43645,functional needs repair
43646,functional needs repair
43647,functional needs repair
43648,functional needs repair
43649,functional needs repair
43650,functional needs repair
43651,functional needs repair
43652,functional needs repair
43653,functional needs repair
43654,functional needs repair
43655,functional needs repair
43656,functional needs repair
43657,functional needs repair
43658,functional needs repair
43659,functional needs repair
43660,functional needs repair
43661,functional needs repair
43662,functional needs repair
43663,functional needs repair
43664,functional needs repair
43665,functional needs repair
43666,functional needs repair
43667,functional needs repair
43668,functional needs repair
43669,functional needs repair
43670,functional needs repair
43671,functional needs repair
43672,functional needs repair
43673,functional needs repair
43674,functional needs repair
43675,functional needs repair
43676,functional needs repair
43677,functional needs repair
43678,functional needs repair
43679,functional needs repair
43680,functional needs repair
43681,functional needs repair
43682,functional needs repair
43683,functional needs repair
43684,functional needs repair
43685,functional needs repair
43686,functional needs repair
43687,functional needs repair
43688,functional needs repair
43689,functional needs repair
43690,functional needs repair
43691,functional needs repair
43692,functional needs repair
43693,functional needs repair
43694,functional needs repair
43695,functional needs repair
43696,functional needs repair
43697,functional needs repair
43698,functional needs repair
